function,lib,name
libssh2_session_init_ex,libssh2,libssh2_session_init_ex
_libssh2_kex_agree_instr,libssh2,_libssh2_kex_agree_instr
_libssh2_packet_add,libssh2,_libssh2_packet_add
kex_agree_mac,libssh2,kex_agree_mac
_libssh2_kex_exchange,libssh2,_libssh2_kex_exchange
kex_agree_instr,libssh2,kex_agree_instr
_libssh2_transport_send,libssh2,_libssh2_transport_send
_libssh2_transport_read,libssh2,_libssh2_transport_read
kex_agree_hostkey,libssh2,kex_agree_hostkey
kex_agree_crypt,libssh2,kex_agree_crypt
kex_agree_comp,libssh2,kex_agree_comp
libssh2_session_disconnect_ex,libssh2,libssh2_session_disconnect_ex
_libssh2_packet_require,libssh2,_libssh2_packet_require
_libssh2_packet_ask,libssh2,_libssh2_packet_ask
