function,lib,name
bus_transaction_send_from_driver,dbus-daemon,bus_transaction_send_from_driver
_dbus_user_database_lookup_group,dbus-daemon,_dbus_user_database_lookup_group
_dbus_read_socket_with_unix_fds,libdbus,_dbus_read_socket_with_unix_fds
_dbus_validate_signature_with_reason,libdbus,_dbus_validate_signature_with_reason
_dbus_group_info_free_allocated,libdbus,_dbus_group_info_free_allocated
_dbus_user_info_free_allocated,libdbus,_dbus_user_info_free_allocated
_dbus_user_database_lookup,libdbus,_dbus_user_database_lookup
_dbus_user_info_unref,libdbus,_dbus_user_info_unref
_dbus_connection_get_next_client_serial,libdbus,_dbus_connection_get_next_client_serial
byteswap_body_helper,libdbus,byteswap_body_helper
_dbus_user_database_new,libdbus,_dbus_user_database_new
_dbus_group_info_unref,libdbus,_dbus_group_info_unref
validate_body_helper,libdbus,validate_body_helper
